DataZone,Freq.,Percent,Cum.
S01006537,1,0.13,0.13
S01006550,2,0.26,0.39
S01006551,1,0.13,0.52
S01006608,1,0.13,0.65
S01006609,1,0.13,0.78
S01006620,1,0.13,0.9
S01006701,1,0.13,1.03
S01006719,1,0.13,1.16
S01006733,1,0.13,1.29
S01006749,1,0.13,1.42
S01006767,1,0.13,1.55
S01006786,2,0.26,1.81
S01006788,1,0.13,1.94
S01006798,1,0.13,2.07
S01006803,1,0.13,2.2
S01006804,2,0.26,2.45
S01006811,1,0.13,2.58
S01006813,1,0.13,2.71
S01006814,1,0.13,2.84
S01006817,1,0.13,2.97
S01006818,1,0.13,3.1
S01006822,1,0.13,3.23
S01006849,1,0.13,3.36
S01006850,1,0.13,3.49
S01006856,1,0.13,3.62
S01006858,1,0.13,3.75
S01006860,1,0.13,3.88
S01006862,1,0.13,4.01
S01006863,1,0.13,4.13
S01006866,1,0.13,4.26
S01006867,1,0.13,4.39
S01006872,1,0.13,4.52
S01006898,1,0.13,4.65
S01006903,1,0.13,4.78
S01006904,1,0.13,4.91
S01006919,1,0.13,5.04
S01006921,1,0.13,5.17
S01006931,1,0.13,5.3
S01006933,1,0.13,5.43
S01006936,2,0.26,5.68
S01006962,1,0.13,5.81
S01006970,1,0.13,5.94
S01006977,1,0.13,6.07
S01007004,1,0.13,6.2
S01007024,1,0.13,6.33
S01007025,2,0.26,6.59
S01007026,1,0.13,6.72
S01007028,1,0.13,6.85
S01007029,1,0.13,6.98
S01007032,1,0.13,7.11
S01007033,1,0.13,7.24
S01007036,1,0.13,7.36
S01007037,1,0.13,7.49
S01007054,1,0.13,7.62
S01007061,2,0.26,7.88
S01007063,1,0.13,8.01
S01007064,2,0.26,8.27
S01007066,1,0.13,8.4
S01007099,1,0.13,8.53
S01007109,1,0.13,8.66
S01007139,1,0.13,8.79
S01007142,1,0.13,8.91
S01007157,1,0.13,9.04
S01007178,1,0.13,9.17
S01007180,1,0.13,9.3
S01007264,1,0.13,9.43
S01007265,1,0.13,9.56
S01007279,1,0.13,9.69
S01007283,1,0.13,9.82
S01007325,1,0.13,9.95
S01007327,1,0.13,10.08
S01007328,1,0.13,10.21
S01007331,1,0.13,10.34
S01007357,1,0.13,10.47
S01007376,1,0.13,10.59
S01007377,1,0.13,10.72
S01007384,2,0.26,10.98
S01007385,1,0.13,11.11
S01007391,3,0.39,11.5
S01007403,1,0.13,11.63
S01007413,1,0.13,11.76
S01007428,1,0.13,11.89
S01007458,1,0.13,12.02
S01007459,1,0.13,12.14
S01007474,1,0.13,12.27
S01007482,1,0.13,12.4
S01007487,2,0.26,12.66
S01007488,1,0.13,12.79
S01007489,1,0.13,12.92
S01007490,1,0.13,13.05
S01007496,2,0.26,13.31
S01007499,1,0.13,13.44
S01007566,1,0.13,13.57
S01007567,1,0.13,13.7
S01007573,2,0.26,13.95
S01007587,1,0.13,14.08
S01007594,1,0.13,14.21
S01007602,1,0.13,14.34
S01007621,1,0.13,14.47
S01007622,3,0.39,14.86
S01007626,2,0.26,15.12
S01007628,1,0.13,15.25
S01007632,1,0.13,15.37
S01007633,2,0.26,15.63
S01007639,1,0.13,15.76
S01007640,2,0.26,16.02
S01007641,1,0.13,16.15
S01007642,1,0.13,16.28
S01007643,1,0.13,16.41
S01007644,1,0.13,16.54
S01007645,3,0.39,16.93
S01007649,1,0.13,17.05
S01007650,1,0.13,17.18
S01007652,1,0.13,17.31
S01007749,1,0.13,17.44
S01007755,1,0.13,17.57
S01007809,2,0.26,17.83
S01007816,2,0.26,18.09
S01007833,1,0.13,18.22
S01007858,1,0.13,18.35
S01007929,2,0.26,18.6
S01007931,1,0.13,18.73
S01007947,1,0.13,18.86
S01007955,1,0.13,18.99
S01007979,1,0.13,19.12
S01007987,1,0.13,19.25
S01007993,1,0.13,19.38
S01007994,1,0.13,19.51
S01007997,1,0.13,19.64
S01007998,1,0.13,19.77
